"type","environment","flow","state","ownerId","created","modified"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MENSAJE TEAMS - MARCIA","Started","e9855609-8a8c-486c-be46-aa92b4254959","2026-06-16","2026-07-02"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MESA DE COMPRAS","Suspended","6a047392-91a9-4c0e-a104-5ece3d12b358","2025-10-28","2025-10-28"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","MMM","Started","0746fda9-5d27-4a04-8479-fac85bd362f3","2025-06-17","2025-06-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Mail Urgent","Started","ad27aa59-edd0-4021-b8bd-643c6403703c","2024-10-22","2024-10-22"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Mantenimiento","Stopped","276f5bbf-f812-4bfc-a06c-b8f97e7f70bd","2024-01-30","2025-01-21"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Marino - Recordatorio de carga de OC","Started","3dcda98e-ac05-4a38-8093-8823230214d8","2026-04-11","2026-04-17"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Materia Prima 1","Stopped","276f5bbf-f812-4bfc-a06c-b8f97e7f70bd","2024-01-31","2025-01-21"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","NEW KATTY","Stopped","48bcf374-8302-457e-8209-99e8708edbec","2023-02-21","2023-02-21"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Notificación","Stopped","c54320d5-6287-4213-aac4-afd39ff87da3","2024-03-17","2024-04-15"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Notificación Tabla completa","Started","c54320d5-6287-4213-aac4-afd39ff87da3","2024-03-29","2024-04-08"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Notificación al supervisor - Checklist de limpieza","Suspended","53da7f04-6a3d-436e-821d-c11c8d7a1e6f","2025-10-13","2025-10-13"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Notificación tabla filtrada","Started","c54320d5-6287-4213-aac4-afd39ff87da3","2024-04-03","2024-04-15"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","NotificarUsuarioAtendido","Stopped","9ec26276-c70a-4a37-ac45-5cb100c322cf","2022-03-07","2022-03-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","NotificarUsuarioySoporte","Stopped","9ec26276-c70a-4a37-ac45-5cb100c322cf","2022-03-07","2022-03-07"
